Geo Point;Geo Shape;codbarrio;nombre;coddistbar;coddistrit;codbar;transporte;stop_id;stop_name;stop_desc;X;Y;zone_id
39.447479277853326, -0.35957386005598835;"{""coordinates"": [-0.359573860055988, 39.447479277853326], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;1148;Font d'en Corts (impar) - Alqueria Reial;C FUENTE EN CORTS 67-69 - VAL�NCIA;727207.66;4369763.43;
39.45290433590392, -0.35036465961589464;"{""coordinates"": [-0.350364659615895, 39.45290433590392], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;2043;Eduardo Primo Y�fera - Front �gora;C  S/N - VAL�NCIA;727982.5100000001;4370388.89;
39.44962656180663, -0.33628594203990175;"{""coordinates"": [-0.336285942039902, 39.44962656180663], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;2047;Barraques del Figuero - Ignacio Zuloaga;CAMI  2 ACC. - VAL�NCIA;729204.81;4370060.77;
39.42987952832489, -0.3386863406354254;"{""coordinates"": [-0.338686340635425, 39.42987952832489], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;2208;Carrera del Riu (impar) - Rotonda Autovia;CRA RIU  DEL 232 - VAL�NCIA;729062.96;4367862.69;
39.44759007768305, -0.33587882008990494;"{""coordinates"": [-0.335878820089905, 39.44759007768305], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;2224;Ignacio de Zuloaga - Castell de Pop;C  28 - VAL�NCIA;729246.53;4369835.75;
39.44855160315186, -0.36243885937040926;"{""coordinates"": [-0.362438859370409, 39.44855160315186], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;2240;Actor Antonio Ferrandis (impar) - En Corts;AV  S/N - VAL�NCIA;726957.61;4369875.24;
39.450475551689074, -0.3579382637580942;"{""coordinates"": [-0.357938263758094, 39.450475551689074], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;2241;Actor Antonio Ferrandis (impar) - Amado Granell Mesado;AV  4 (DAVANT) - VAL�NCIA;727338.67;4370100.15;
39.45263642524334, -0.3528439347123783;"{""coordinates"": [-0.352843934712378, 39.45263642524334], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;2242;Actor Antonio Ferrandis (impar) - Centre Comercial;AV  S/N (C.C.SALER DAVANT) - VAL�NCIA;727770.03;4370352.88;
39.44566971842341, -0.35822364552376174;"{""coordinates"": [-0.358223645523762, 39.44566971842341], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;673;Font d'en Corts (impar) - Roig de lagarda;C FUENTE EN CORTS 99 - VAL�NCIA;727329.75;4369565.97;
39.43543901289565, -0.34362415432374094;"{""coordinates"": [-0.343624154323741, 39.43543901289565], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;921;Carrera del Riu - Entrada Sanques;CRA RIU  DEL 172 - VAL�NCIA;728619.71;4368467.27;
39.43210536775452, -0.34316952495317044;"{""coordinates"": [-0.34316952495317, 39.43210536775452], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;922;Carrera del Riu - Cam� dels Anouers;CRA RIU  DEL 228 - VAL�NCIA;728669.75;4368098.38;
39.435457489915464, -0.34347869716556284;"{""coordinates"": [-0.343478697165563, 39.435457489915464], ""type"": ""Point""}";6;LA PUNTA;106;10;106;emt;940;Carrera del Riu - Casa Andr�s;CRA RIU  DEL 172 (DAVANT) - VAL�NCIA;728632.17;4368469.69;
;;5;RAFALELL-VISTABELLA;175;17;175;;;;;;;
39.476592879144114, -0.33420280903834676;"{""coordinates"": [-0.334202809038347, 39.476592879144114], ""type"": ""Point""}";5;LA CARRASCA;135;13;135;metrovlc;86;Serrer�a;NULL;729295.5;4373059.42;A
39.48131547991357, -0.35049997904250535;"{""coordinates"": [-0.350499979042505, 39.48131547991357], ""type"": ""Point""}";5;LA CARRASCA;135;13;135;metrovlc;89;Universitat Polit�cnica;NULL;727878.0999999999;4373542.27;A
39.47940898836499, -0.34573663467457344;"{""coordinates"": [-0.345736634674573, 39.47940898836499], ""type"": ""Point""}";5;LA CARRASCA;135;13;135;emt;1282;Ramon Llull - Albalat dels Tarongers;C RAMON LLULL SOLAR - VAL�NCIA;728294.08;4373342.71;
39.480107009168684, -0.347228893969785;"{""coordinates"": [-0.347228893969785, 39.480107009168684], ""type"": ""Point""}";5;LA CARRASCA;135;13;135;emt;1489;Tarongers - Davant Acc.Pta.Prin.Universitats;AV NARANJOS  LOS S/N - VAL�NCIA;728163.43;4373416.41;
39.47915421447323, -0.34376114796518337;"{""coordinates"": [-0.343761147965183, 39.47915421447323], ""type"": ""Point""}";5;LA CARRASCA;135;13;135;emt;1896;Tarongers - Facultat de Dret;AV NARANJOS  LOS 6 - VAL�NCIA;728464.85;4373319.44;
39.47784544034611, -0.3515924988571898;"{""coordinates"": [-0.35159249885719, 39.47784544034611], ""type"": ""Point""}";5;LA CARRASCA;135;13;135;emt;867;Clariano - Pal�ncia;C CLARIANO 25 - VAL�NCIA;727795.4499999998;4373154.32;
39.45919569562686, -0.3338278349815092;"{""coordinates"": [-0.333827834981509, 39.45919569562686], ""type"": ""Point""}";1;EL GRAU;111;11;111;emt;1590;Joan Verdaguer - Port;C  S/N - VAL�NCIA;729384.92;4371129.23;
39.4615288367351, -0.33815716928180106;"{""coordinates"": [-0.338157169281801, 39.4615288367351], ""type"": ""Point""}";1;EL GRAU;111;11;111;emt;1631;Port - Illes Can�ries;AV PUERTO 274 - VAL�NCIA;729004.74;4371377.2;
39.45449378354283, -0.3306578833446583;"{""coordinates"": [-0.330657883344658, 39.45449378354283], ""type"": ""Point""}";1;EL GRAU;111;11;111;emt;60;Manuel Soto Enginyer - Pont de les Drassanes;AV INGENIERO MANUEL SOTO 18 - VAL�NCIA;729673.15;4370615.38;
39.460356902380674, -0.33249604901235996;"{""coordinates"": [-0.33249604901236, 39.460356902380674], ""type"": ""Point""}";1;EL GRAU;111;11;111;emt;7;Dr. J.J.D�mine - Port (Porta Principal);C DOCTOR J.J. DOMINE PORTA PPAL. - VAL�NCIA;729495.7;4371261.52;
39.4703685023733, -0.34910202782855937;"{""coordinates"": [-0.349102027828559, 39.4703685023733], ""type"": ""Point""}";2;CIUTAT JARDI;132;13;132;emt;1111;Dr. Manuel Candela (par) - Sants Just i Pastor;C DOCTOR MANUEL CANDELA 52 - VAL�NCIA;728034.12;4372330.66;
39.475132017053085, -0.3471301762625391;"{""coordinates"": [-0.347130176262539, 39.475132017053085], ""type"": ""Point""}";2;CIUTAT JARDI;132;13;132;emt;117;Ramon Llull - Escultor Alfons Gabino;C RAMON LLULL 6 - VAL�NCIA;728188.1900000001;4372864.42;
