gid;Códi / Código;Nom / Nombre;Tipus / Tipo;Línia / Línea;Pròximes Arribades / Próximas Llegadas;proximes_llegadas;geo_shape;geo_point_2d
237210;16;Xàtiva;1;3,5,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=16&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=16&lang=va;"{""coordinates"": [-0.377375006091083, 39.46718601400712], ""type"": ""Point""}";39.46718601400712, -0.377375006091083
237204;117;Quart de Poblet;1;3,5,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=117&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=117&lang=va;"{""coordinates"": [-0.44188055413458743, 39.48108677099763], ""type"": ""Point""}";39.48108677099763, -0.44188055413458743
237217;7;Meliana;1;3;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=7&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=7&lang=va;"{""coordinates"": [-0.3518194551700547, 39.52803043467392], ""type"": ""Point""}";39.52803043467392, -0.3518194551700547
237218;6;Foios;1;3;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=6&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=6&lang=va;"{""coordinates"": [-0.35386943816728056, 39.537223855758896], ""type"": ""Point""}";39.537223855758896, -0.35386943816728056
237180;58;Les Carolines - Fira;1;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=58&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=58&lang=va;"{""coordinates"": [-0.42541944972392487, 39.49873737508498], ""type"": ""Point""}";39.49873737508498, -0.42541944972392487
237234;127;Canyamelar;1;6,8;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=127&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=127&lang=va;"{""coordinates"": [-0.32793200041807286, 39.46652225619434], ""type"": ""Point""}";39.46652225619434, -0.32793200041807286
237166;44;Font Almaguer;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=44&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=44&lang=va;"{""coordinates"": [-0.46408611592600685, 39.289405862125854], ""type"": ""Point""}";39.289405862125854, -0.46408611592600685
237101;93;Sagunt;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=93&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=93&lang=va;"{""coordinates"": [-0.3749722238203376, 39.486499825901895], ""type"": ""Point""}";39.486499825901895, -0.3749722238203376
237153;53;Campanar;1;1,2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=53&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=53&lang=va;"{""coordinates"": [-0.3950361010065258, 39.48463062443623], ""type"": ""Point""}";39.48463062443623, -0.3950361010065258
237221;3;Massamagrell;1;3;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=3&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=3&lang=va;"{""coordinates"": [-0.333033323500629, 39.57056049493916], ""type"": ""Point""}";39.57056049493916, -0.333033323500629
237147;76;Massarrojos;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=76&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=76&lang=va;"{""coordinates"": [-0.40287777812858305, 39.53660968895581], ""type"": ""Point""}";39.53660968895581, -0.40287777812858305
237222;2;La Pobla de Farnals;1;3;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=2&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=2&lang=va;"{""coordinates"": [-0.33043611090782443, 39.57941822166075], ""type"": ""Point""}";39.57941822166075, -0.33043611090782443
